project_id,name_of_project,location,contractor,office_name,funds_source,project_cost,date_started,completion_orig,completion_actual,status_percent
NC0215T00066,Local Infrastructure Program - Construction of Multi-Purpose Building  Barangay Punturin  Valenzuela City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",GENETIAN BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,140",7/21/2015,11/17/2015,9/8/2015,100
NC0115H00037,Taft Ave  -  Chainage 191 - Chainage 554 PAVED (CONCRETE) TO PAVED (CONCRETE),"DistrictWide,South Manila District Engineering Office,NCR",AKH CONSTRUCTION & TRADING CORP.,"South Manila District Engineering Office,NCR",UPSR,"3,814",7/17/2015,9/29/2015,9/29/2015,100
NC0215T00118,Local Infrastructure Program - Construction of a Multi-Purpose Building  Ateneo Housing  Barangay Barangka  Marikina City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",VICTORIA BUILDERS AND TRADING,"Metro Manila 1st District Engineering Office,NCR",RLIP,"3,083",7/14/2015,10/13/2015,10/12/2015,100
NC0215T00170,Local Infrastructure Program - Construction of MPB (Site Development)  Kawayan Village Barangay Fortune  Marikina City 2nd LD CONSTRUCTION,"Marikina City.,Metro Manila 1st District Engineering Office,NCR",KRBS CONSTRUCTION AND TRADING,"Metro Manila 1st District Engineering Office,NCR",RLIP,482,7/10/2015,8/9/2015,7/31/2015,100
NC0115T00017,Local Infrastructure Program - Repair/Rehabilitation of Multi-Purpose Building  Brgy. 159  Pasay City Lone District CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",MRJR CONSTRUCTION & TRADING,"South Manila District Engineering Office,NCR",RLIP,"1,901",7/7/2015,11/3/2015,9/30/2015,100
NC0115T00026,Local Infrastructure Program - Construction of Multi-Purpose Buildings (Covered Court)  Barangay 104  Zone 8 Lallana/J.P. Rizal St. Tondo  Manila City 1st LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR","BLACKRAM BUILDERS, INC.","North Manila District Engineering Office,NCR",RLIP,980,7/3/2015,8/31/2015,8/31/2015,100
NC0115T00025,Local Infrastructure Program - Construction of Multi-Purpose Buildings (Covered Court)  Barangay 137  Zone 12 Buendia St. Balut  Tondo  Manila City 1st LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR","BLACKRAM BUILDERS, INC.","North Manila District Engineering Office,NCR",RLIP,990,7/3/2015,8/31/2015,8/31/2015,100
NC0215T00002,Local Infrastructure Program - Construction of Multi-Purpose Building  Brgy. Tanza  Navotas City Lone District CONSTRUCTION,"DistrictWide,Malabon-Navotas District Engineering Office,NCR",FRAMECON BUILDERS,"Malabon-Navotas District Engineering Office,NCR",RLIP,"1,410",7/2/2015,9/29/2015,9/29/2015,100
NC0115T00007,Local Infrastructure Program - Rehabilitation of Multi-Purpose Building  Manuel Roxas High School Pres. Quirino Ave. Ext. Paco  Manila City 5th LD CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR","TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","South Manila District Engineering Office,NCR",RLIP,"1,938",6/30/2015,8/28/2015,8/25/2015,100
NC0215F00147,Local Infrastructure Program -Desilting of Las Piñas and Zapote Rivers including Tributaries  Las Piñas City Lone District CONSTRUCTION,"DistrictWide,Las Piñas-Muntinlupa District Engineering Office,NCR","ARMANDO U. KHONG HUN GEN. CONTR., INC.","Las Piñas-Muntinlupa District Engineering Office,NCR",RLIP,"6,190",6/30/2015,9/27/2015,9/27/2015,100
NC0215W00001,Construction of Rainwater Collector System (RWCS) Facilities  Metro Manila 2nd District Engineering Office CONSTRUCTION,"DistrictWide,Metro Manila 2nd District Engineering Office,NCR",R.C. PALLARCA CONSTRUCTION,"Metro Manila 2nd District Engineering Office,NCR",WSRW,487,6/26/2015,9/25/2015,9/3/2015,100
NC0115T00009,Local Infrastructure Program - Construction of Multi-Purpose Building  Pres Corazon Aquino High School Baseco  Port Area  Manila City 5th LD CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",PRECIOUS CONSTRUCTION,"South Manila District Engineering Office,NCR",RLIP,"6,510",6/26/2015,10/23/2015,10/23/2015,100
NC0115T00001,Local Infrastructure Program - Repair/Rehab of Multi-Purpose Building  Barangay 91  Pasay City Lone District CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",IVAHRICK CONTRACTORS,"South Manila District Engineering Office,NCR",RLIP,"1,116",6/26/2015,8/31/2015,8/31/2015,100
NC0215T00160,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation of Multi-Purpose Building  Brgy. Namayan  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",C & F CONSTRUCTION & DEVELOPMENT CORPORATION,"Metro Manila 1st District Engineering Office,NCR",VILP,"1,935",6/25/2015,9/8/2015,9/6/2015,100
NC0315T00135,Local Infrastructure Program - Repair and Rehabilitation of Multi-Purpose Building  Barangay Santol  Quezon City CONSTRUCTION,"Quezon City 4th district,Quezon City 2nd District Engineering Office,NCR",ELPA CONSTRUCTION,"Quezon City 2nd District Engineering Office,NCR",RLIP,"1,500",6/25/2015,8/20/2015,8/20/2015,100
NC0315H00042,Local Infrastructure Program - Road Improvement of Hemady St. and Sct. Tobias St.  Q.C. 4th LD GRAVEL TO PAVED,"Quezon City 4th district,Quezon City 2nd District Engineering Office,NCR","A.C. MOJARES CONSTRUCTION, INC. (DOING BUSINESS UN","Quezon City 2nd District Engineering Office,NCR",RLIP,"5,000",6/25/2015,8/23/2015,8/23/2015,100
NC0215T00162,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation of Multi-Purpose Building and Health Center  Brgy. Mabini - J. Rizal  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",C & F CONSTRUCTION & DEVELOPMENT CORPORATION,"Metro Manila 1st District Engineering Office,NCR",VILP,"1,934",6/25/2015,9/7/2015,9/6/2015,100
NC0315H00008,Local Infrastructure Program - Road Concreting  VMMC  North Ave.  Quezon City 1st LD PAVED (CONCRETE) TO PAVED (CONCRETE),"DistrictWide,Quezon City 1st District Engineering Office,NCR",PJ CONSTRUCTION & SUPPLY,"Quezon City 1st District Engineering Office,NCR",RLIP,"1,891",6/24/2015,8/22/2015,9/15/2015,100
NC0215F00096,Local Infrastructure Program - Slope Protection/Riprapping of (Sapang Buwaya Creek Phase V)  Barangay San Antonio  Paranaque City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 2nd District Engineering Office,NCR",STAR WILLIAM CONSTRUCTION,"Metro Manila 2nd District Engineering Office,NCR",RLIP,"7,000",6/23/2015,10/20/2015,9/25/2015,100
NC0115W00001,Construction of Rainwater Collector System (RWCS) Facilities  North Manila District Engineering Office CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR","BLACKRAM BUILDERS, INC.","North Manila District Engineering Office,NCR",WSRW,481,6/23/2015,8/13/2015,8/14/2015,100
NC0215H00153,Local Infrastructure Program - Construction/Improvement of Roads  Cortez Drive  Barangay Sto. Rosario-Kanluran  Pateros  Metro Manila GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",FRANZCOR TRADING & CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,800",6/17/2015,9/15/2015,9/14/2015,100
NC0215T00005,Local Infrastructure Program - Construction/Rehabilitation of Multi-Purpose Building  Caloocan City 1st LD CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",IM CONSTRUCTION CORPORATION,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,577",6/15/2015,10/12/2015,9/25/2015,100
NC0215T00179,Local Infrastructure Program - Construction/Rehabilitation of Multi-Purpose Building  Caloocan City 2nd LD CONSTRUCTION,"Caloocan City II,Metro Manila 3rd District Engineering Office,NCR",JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"Metro Manila 3rd District Engineering Office,NCR",RLIP,"4,582",6/15/2015,10/12/2015,9/25/2015,100
NC0215T00003,Local Infrastructure Program - Rehabilitation of Multi-Purpose Building  Brgy. San Roque  Navotas City Lone District CONSTRUCTION,"DistrictWide,Malabon-Navotas District Engineering Office,NCR",R.C. PALLARCA CONSTRUCTION,"Malabon-Navotas District Engineering Office,NCR",RLIP,"1,419",6/12/2015,8/10/2015,8/10/2015,100
NC0215T00004,Local Infrastructure Program - Rehabilitation of Multi-Purpose Building  Brgy. Tangos  Navotas City Lone District CONSTRUCTION,"DistrictWide,Malabon-Navotas District Engineering Office,NCR",AYANA CONSTRUCTION AND TRADING,"Malabon-Navotas District Engineering Office,NCR",RLIP,"1,418",6/12/2015,8/10/2015,8/10/2015,100
NC0115T00037,Local Infrastructure Program - Construction of Multi Purpose Building  Regidor Elementary School  Sta. Cruz  Manila CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",AYANA CONSTRUCTION AND TRADING,"North Manila District Engineering Office,NCR",RLIP,"4,846",6/9/2015,8/7/2015,8/5/2015,100
NC0215T00175,Local Infrastructure Program - Completion of Multi-Purpose Building  Silangan  Pateros  Metro Manila CONSTRUCTION,"Pateros,Metro Manila 1st District Engineering Office,NCR",PETER G. CHUA BUILDERS,"Metro Manila 1st District Engineering Office,NCR",RLIP,"1,900",6/9/2015,8/9/2015,8/6/2015,100
NC0215S00059,Local Infrastructure Program - Rehabilitation of School Building  Sto. Nino Elementary School  Barangay Sto. Nino  Marikina City 1st District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",B. BERNARDO CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,"2,902",6/7/2015,10/4/2015,10/3/2015,100
NC0115H00022,Local Infrastructure Program-Improvement of Road and Drainage  Brgy. 829 and vicinity  Pandacan  Manila City 6th LD GRAVEL TO PAVED,"DistrictWide,South Manila District Engineering Office,NCR",MRJR CONSTRUCTION & TRADING,"South Manila District Engineering Office,NCR",RLIP,"2,805",6/5/2015,9/2/2015,9/2/2015,100
NC0215H00039,Local Infrastructure Program - Construction of Local Road at Barangay Sta. Ana  Tabacalera and Sto Rosario-Silangan  all in Pateros  Taguig City 1st Distict  Taguig-Pateros 1st LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",LMG CONSTRUCTION,"Metro Manila 1st District Engineering Office,NCR",RLIP,"6,079",6/5/2015,10/4/2015,10/2/2015,100
NC0115S00005,Local Infrastructure Program-Construction of Multi-Purpose Building  Aurora A. Quezon Elementary School  San Andres St.  Malate  Manila City 5th LD CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR","TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","South Manila District Engineering Office,NCR",RLIP,"1,898",6/5/2015,8/3/2015,6/22/2015,100
NC0215W00002,Construction of Rainwater Collector System (RWCS) Facilities  Metro Manila 3rd District Engineering Office CONSTRUCTION,"DistrictWide,Metro Manila 3rd District Engineering Office,NCR",C.B. TAMPENGCO CONSTRUCTION & SUPPLY,"Metro Manila 3rd District Engineering Office,NCR",WSRW,190,6/4/2015,7/3/2015,6/10/2015,100
NC0215W00003,Construction of Rainwater Collector System (RWCS) Facilities  Las Pinas-Muntinlupa District Engineering Office CONSTRUCTION,"DistrictWide,Las Piñas-Muntinlupa District Engineering Office,NCR",PASCAL CONSTRUCTION,"Las Piñas-Muntinlupa District Engineering Office,NCR",WSRW,499,6/3/2015,7/2/2015,7/2/2015,100
NC0215H00128,Local Infrastructure Program - Improvement/Concreting of Road Networks  Brgy. Pinagsama  Taguig City  Metro Manila GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",DELPAR CONSTRUCTION & SUPPLIES,"Metro Manila 1st District Engineering Office,NCR",RLIP,"5,211",6/3/2015,10/2/2015,10/1/2015,100
NC0215T00034,Local Infrastructure Program - Construction of Multi-Purpose Building  Brgy. Concepcion  Malabon City Lone District CONSTRUCTION,"DistrictWide,Malabon-Navotas District Engineering Office,NCR",FRAMECON BUILDERS,"Malabon-Navotas District Engineering Office,NCR",RLIP,"1,409",6/2/2015,8/30/2015,8/30/2015,100
NC0215S00027,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation of School Building at Mataas na Paaralang Neptali A. Gonzales  Brgy. Mauway  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR","TRACSOM BUILDERS, INC.","Metro Manila 1st District Engineering Office,NCR",VILP,"4,825",6/2/2015,8/29/2015,8/28/2015,100
NC0215W00004,Construction of Rainwater Collector System (RWCS) Facilities  Malabon-Navotas District Engineering Office CONSTRUCTION,"DistrictWide,Malabon-Navotas District Engineering Office,NCR",AYANA CONSTRUCTION AND TRADING,"Malabon-Navotas District Engineering Office,NCR",WSRW,473,6/2/2015,7/1/2015,7/1/2015,100
NC0115F00072,Drainage Improvement of Zone 58 and Zone 59  Manila City 6th LD/ North Manila DEO CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",FRAMECON BUILDERS,"North Manila District Engineering Office,NCR",FMSD,"17,916",6/2/2015,10/29/2015,10/29/2015,100
NC0215S00025,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Rehabilitation of School Building at Jose Fabella Memorial School  Brgy. Addition Hills  Mandaluyong City Lone District CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR","TRACSOM BUILDERS, INC.","Metro Manila 1st District Engineering Office,NCR",VILP,"2,895",6/1/2015,8/16/2015,8/15/2015,100
NC0215H00037,Local Infrastructure Program - Construction of Local Road at Barangay Palingon  Calzada  Ligid  Ibayo and Napindan  Taguig City 1st Distict  Taguig-Pateros 1st LD GRAVEL TO PAVED,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",NORTHERN BUILDERS,"Metro Manila 1st District Engineering Office,NCR",RLIP,"15,198",6/1/2015,10/29/2015,10/28/2015,100
NC0215T00057,Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects - Construction of Fairlane Subd. Multi-purpose Building  Brgy. Concepcion Uno  Marikina City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",DELPAR CONSTRUCTION & SUPPLIES,"Metro Manila 1st District Engineering Office,NCR",VILP,"1,447",5/30/2015,8/29/2015,7/29/2015,100
NC0215F00114,Construction/Improvement of Drainage System along Alabang-Muntinlupa Road  Brgy. Putatan  Muntinlupa City CONSTRUCTION,"DistrictWide,Las Piñas-Muntinlupa District Engineering Office,NCR",TRICHES CONSTRUCTION & TRADING,"Las Piñas-Muntinlupa District Engineering Office,NCR",FMSD,"4,208",5/30/2015,7/28/2015,7/28/2015,100
NC0315T00128,Local Infrastructure Program - Construction/Rehabilitation of Multi-Purpose Building in Brgy. E. Rodriguez Sr.  Quezon City CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",AYANA CONSTRUCTION AND TRADING,"Quezon City 2nd District Engineering Office,NCR",RLIP,"3,000",5/29/2015,8/24/2015,8/24/2015,100
NC0115F00006,Local Infrastructure Program - Repair/Rehab of Drainage System  Barangay 177  Pasay City Lone District CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",IVAHRICK CONTRACTORS,"South Manila District Engineering Office,NCR",RLIP,"2,713",5/29/2015,9/25/2015,9/15/2015,100
NC0115F00049,Local Infrastructure Program - Repair/Rehabilitation of Drainage System  Brgy. 42 (Manapat  Eusebio and Flores Streets)  Pasay City Lone District CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",IVAHRICK CONTRACTORS,"South Manila District Engineering Office,NCR",RLIP,"2,758",5/29/2015,8/26/2015,8/26/2015,100
NC0115H00012,Local Infrastructure Program-Improvement of Road and Drainage  Brgy. 841 Zone 92 and vicinity  Pandacan  Manila City 6th LD GRAVEL TO PAVED,"DistrictWide,South Manila District Engineering Office,NCR",AYANA CONSTRUCTION AND TRADING,"South Manila District Engineering Office,NCR",RLIP,"4,646",5/29/2015,8/26/2015,8/4/2015,100
NC0115H00033,Spine Road (Roxas Bvd. - Jalandoni St.) PAVED (CONCRETE) TO PAVED (CONCRETE),"DistrictWide,South Manila District Engineering Office,NCR",VIVID CONSTRUCTION INC.(FORMERLY VIVID CONSTRUCTIO,"South Manila District Engineering Office,NCR",UPSR,"17,442",5/29/2015,10/25/2015,9/30/2015,100
NC0115S00013,Local Infrastructure Program - Repair/Rehabilitation of Multi-Purpose Building  Pasay City East High School  Pasay City Lone District CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",IVAHRICK CONTRACTORS,"South Manila District Engineering Office,NCR",RLIP,"1,195",5/29/2015,7/27/2015,7/27/2015,100
NC0115T00035,Local Infrastructure Program - Rehabilitation of Multi-Purose Building  CGAG  DOTC Hanger  Domestic Road  Pasay City Lone District CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR","TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","South Manila District Engineering Office,NCR",RLIP,"1,900",5/29/2015,9/25/2015,8/17/2015,100
NC0215T00124,Local Infrastructure Program - Construction of Sable Multi-Purpose Building (Covered Court)  Barangay Conception Dos  Marikina City 2nd LD CONSTRUCTION,"DistrictWide,Metro Manila 1st District Engineering Office,NCR",VICTORIA BUILDERS AND TRADING,"Metro Manila 1st District Engineering Office,NCR",RLIP,"5,644",5/28/2015,9/25/2015,9/18/2015,100
NC0315W00002,Construction of Rainwater Collector System (RWCS) Facilities  Quezon City 2nd District Engineering Office CONSTRUCTION,"Quezon City 3rd District,Quezon City 2nd District Engineering Office,NCR",CZERJ CONSTRUCTION & TRADING,"Quezon City 2nd District Engineering Office,NCR",WSRW,500,5/27/2015,7/10/2015,7/10/2015,100
NC0115S00011,Local Infrastructure Program - Repair and Rehabilitation of School Buildings  Epifanio Delos Santos Elementary School  Pasay City Lone District CONSTRUCTION,"DistrictWide,South Manila District Engineering Office,NCR",VIVID CONSTRUCTION INC.(FORMERLY VIVID CONSTRUCTIO,"South Manila District Engineering Office,NCR",RLIP,"4,917",5/27/2015,8/24/2015,8/24/2015,100
